date,open,close,sma5,km_signal,km_action,km_shares,lstm_signal,lstm_action,lstm_shares,lgbm_signal,lgbm_action,lgbm_shares,ppo_signal,ppo_action,ppo_shares,tfm_signal,tfm_action,tfm_shares,uv_signal,uv_action,uv_shares,td3_signal,td3_action,td3_shares
2025-06-25,4.94,4.89,4.81,strong_sell,hold,,mild_sell,hold,,hold,hold,,hold,hold,,hold,sell,17100,hold,hold,,strong_buy,hold,
2025-06-26,4.85,4.84,4.82,strong_sell,hold,,mild_sell,hold,,strong_buy,hold,,hold,hold,,mild_buy,hold,,disagree,hold,,strong_buy,hold,
2025-06-27,4.82,4.84,4.84,strong_sell,hold,,mild_sell,hold,,strong_buy,hold,,strong_buy,hold,,hold,hold,,disagree,hold,,strong_buy,hold,
2025-06-30,4.83,4.9,4.87,mild_buy,hold,,mild_sell,hold,,mild_buy,hold,,hold,hold,,mild_sell,hold,,disagree,hold,,strong_sell,hold,
2025-07-01,4.9,4.85,4.86,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,sell,16700
2025-07-02,4.87,4.83,4.85,strong_sell,hold,,mild_sell,hold,,mild_buy,buy,10000,hold,hold,,hold,buy,8700,disagree,buy,22600,strong_buy,buy,16800
2025-07-03,4.82,4.81,4.85,strong_sell,hold,,mild_sell,hold,,strong_buy,buy,5100,strong_buy,hold,,hold,hold,,disagree,hold,,mild_buy,hold,
2025-07-04,4.8,4.77,4.83,strong_sell,hold,,mild_sell,hold,,mild_buy,buy,5100,strong_buy,hold,,hold,hold,,disagree,hold,,strong_sell,hold,
2025-07-07,4.75,4.74,4.8,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,hold,hold,,hold,hold,,disagree,hold,,hold,sell,16800
2025-07-08,4.74,4.84,4.8,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,hold,hold,,strong_sell,hold,,sell,hold,,strong_buy,hold,
2025-07-09,4.83,4.79,4.79,strong_sell,hold,,mild_sell,hold,,mild_sell,hold,,hold,hold,,mild_buy,sell,8700,sell,sell,22600,strong_sell,hold,
2025-07-10,4.78,4.87,4.8,hold,hold,,mild_sell,hold,,strong_buy,sell,10100,hold,hold,,strong_sell,hold,,disagree,hold,,strong_sell,hold,
2025-07-11,4.84,4.89,4.83,mild_buy,hold,,mild_sell,hold,,strong_buy,hold,,hold,hold,,hold,hold,,disagree,hold,,strong_sell,hold,
2025-07-14,4.89,4.82,4.84,strong_sell,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,mild_buy,hold,,disagree,hold,,strong_sell,hold,
2025-07-15,4.79,4.73,4.82,strong_sell,hold,,mild_sell,hold,,strong_sell,hold,,hold,hold,,mild_buy,buy,8800,sell,hold,,strong_buy,hold,
2025-07-16,4.73,4.74,4.81,strong_sell,hold,,mild_sell,hold,,strong_buy,sell,10100,strong_buy,hold,,hold,buy,4400,disagree,hold,,strong_buy,buy,16900
2025-07-17,4.74,4.77,4.79,strong_sell,hold,,mild_sell,hold,,mild_buy,buy,20200,strong_buy,hold,,hold,hold,,disagree,hold,,strong_buy,hold,
2025-07-18,4.75,4.75,4.76,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,hold,hold,,disagree,hold,,strong_buy,hold,
2025-07-21,4.74,4.78,4.75,strong_sell,hold,,mild_sell,hold,,mild_sell,hold,,strong_buy,hold,,hold,hold,,sell,hold,,strong_sell,hold,
2025-07-22,4.75,4.76,4.76,strong_sell,hold,,mild_sell,hold,,mild_sell,sell,10100,strong_buy,hold,,hold,hold,,sell,hold,,strong_sell,sell,16900
2025-07-23,4.75,4.91,4.79,hold,hold,,mild_sell,hold,,hold,sell,5000,hold,hold,,strong_sell,hold,,hold,hold,,strong_sell,hold,
2025-07-24,4.86,4.93,4.83,hold,hold,,mild_sell,hold,,strong_sell,hold,,hold,hold,,hold,sell,13200,hold,hold,,strong_sell,hold,
2025-07-25,4.92,4.86,4.85,mild_buy,hold,,mild_sell,hold,,mild_buy,sell,5100,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_sell,hold,
2025-07-28,4.86,4.86,4.86,mild_buy,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,hold,hold,,disagree,hold,,strong_sell,hold,
2025-07-29,4.89,4.8,4.87,mild_buy,buy,21400,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_sell,hold,
2025-07-30,4.79,4.88,4.87,mild_buy,buy,10900,mild_sell,hold,,strong_buy,buy,10100,hold,hold,,strong_sell,buy,8900,disagree,buy,22700,strong_sell,hold,
2025-07-31,4.8,4.73,4.83,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,hold,hold,,strong_buy,sell,8900,disagree,hold,,strong_buy,hold,
2025-08-01,4.72,4.74,4.8,strong_sell,sell,32300,mild_sell,hold,,strong_buy,buy,5100,strong_buy,hold,,hold,buy,18100,disagree,hold,,strong_buy,buy,17000
2025-08-04,4.72,4.73,4.78,strong_sell,hold,,mild_sell,hold,,mild_buy,buy,5200,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,hold,
2025-08-05,4.74,4.74,4.76,strong_sell,hold,,mild_sell,hold,,strong_buy,hold,,strong_buy,hold,,hold,hold,,disagree,hold,,strong_buy,hold,
2025-08-06,4.74,4.74,4.74,strong_sell,hold,,mild_sell,hold,,mild_sell,hold,,strong_buy,hold,,hold,hold,,sell,hold,,strong_sell,hold,
2025-08-07,4.72,4.74,4.74,strong_sell,hold,,mild_buy,hold,,hold,sell,10200,strong_buy,hold,,hold,hold,,disagree,sell,22700,strong_buy,sell,17000
2025-08-08,4.74,4.71,4.73,strong_sell,hold,,mild_buy,hold,,hold,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,hold,
2025-08-11,4.72,4.85,4.76,hold,hold,,mild_buy,buy,12700,hold,hold,,hold,hold,,strong_sell,hold,,hold,buy,22700,strong_sell,buy,17000
2025-08-12,4.85,4.81,4.77,mild_buy,hold,,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,mild_buy,sell,18100,buy,hold,,strong_buy,sell,17000
2025-08-13,4.86,4.8,4.78,mild_buy,hold,,mild_sell,sell,6300,hold,hold,,hold,hold,,hold,hold,,hold,hold,,mild_sell,hold,
2025-08-14,4.77,4.74,4.78,strong_sell,hold,,mild_sell,sell,3200,mild_buy,hold,,hold,hold,,mild_buy,hold,,disagree,hold,,strong_buy,hold,
2025-08-15,4.73,4.76,4.79,strong_sell,hold,,mild_sell,sell,1600,hold,buy,5100,strong_buy,hold,,hold,buy,9200,disagree,hold,,strong_sell,buy,17400
2025-08-18,4.77,4.81,4.78,mild_buy,hold,,mild_sell,sell,800,hold,hold,,hold,hold,,hold,hold,,hold,hold,,strong_sell,sell,17400
2025-08-19,4.81,4.84,4.79,mild_buy,hold,,mild_sell,sell,400,mild_buy,hold,,hold,hold,,hold,hold,,disagree,hold,,strong_sell,hold,
2025-08-20,4.83,4.97,4.82,hold,hold,,mild_sell,sell,200,mild_sell,hold,,hold,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
2025-08-21,4.92,4.93,4.86,hold,hold,,mild_sell,sell,100,strong_buy,sell,7600,hold,hold,,hold,sell,9200,hold,sell,22700,strong_sell,hold,
2025-08-22,4.91,4.96,4.9,mild_sell,hold,,mild_sell,hold,,hold,hold,,strong_buy,hold,,mild_sell,hold,,sell,hold,,strong_sell,hold,
2025-08-25,4.95,5.21,4.98,hold,hold,,mild_sell,hold,,strong_sell,hold,,hold,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
2025-08-26,5.17,5.35,5.08,hold,hold,,strong_sell,hold,,mild_buy,sell,7700,hold,hold,,strong_sell,hold,,disagree,hold,,strong_sell,hold,
2025-08-27,5.29,5.17,5.12,mild_sell,hold,,strong_sell,sell,100,strong_sell,hold,,strong_buy,hold,,strong_buy,hold,,sell,hold,,strong_sell,hold,
2025-08-28,5.13,5.13,5.16,mild_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_buy,hold,,hold,hold,,sell,hold,,strong_sell,hold,
2025-08-29,5.1,5.18,5.21,mild_sell,hold,,strong_sell,hold,,strong_sell,hold,,strong_buy,hold,,mild_sell,hold,,sell,hold,,strong_sell,hold,
2025-09-01,5.13,5.47,5.26,hold,hold,,strong_sell,hold,,strong_sell,hold,,mild_buy,hold,,strong_sell,hold,,sell,hold,,strong_sell,hold,
2025-09-02,5.39,5.31,5.25,mild_sell,hold,,strong_sell,hold,,mild_buy,hold,,strong_buy,hold,,strong_buy,hold,,buy,hold,,hold,hold,
2025-09-03,5.33,5.21,5.26,mild_sell,hold,,strong_sell,hold,,strong_buy,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,mild_buy,hold,
2025-09-04,5.16,5.32,5.3,mild_sell,hold,,mild_buy,hold,,strong_sell,buy,19600,strong_buy,hold,,strong_sell,buy,8600,sell,buy,21600,strong_sell,buy,8000
2025-09-05,5.24,5.21,5.3,mild_sell,hold,,strong_buy,hold,,strong_sell,sell,19600,strong_buy,hold,,strong_buy,sell,8600,buy,sell,21600,strong_sell,sell,8000
2025-09-08,5.17,5.2,5.25,mild_buy,hold,,strong_buy,buy,23500,strong_sell,hold,,strong_buy,hold,,hold,buy,17400,buy,buy,21900,strong_sell,hold,
2025-09-09,5.18,5.12,5.21,mild_buy,buy,19700,strong_buy,hold,,strong_sell,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,hold,
2025-09-10,5.13,5.17,5.2,mild_buy,buy,10000,strong_buy,hold,,strong_buy,hold,,strong_buy,hold,,mild_sell,hold,,buy,hold,,strong_buy,buy,16200
2025-09-11,5.12,5.24,5.19,mild_buy,buy,5000,strong_buy,hold,,strong_buy,buy,20000,strong_buy,hold,,mild_sell,sell,8700,buy,hold,,strong_buy,hold,
2025-09-12,5.23,5.22,5.19,mild_buy,hold,,strong_buy,hold,,strong_buy,hold,,strong_buy,hold,,hold,sell,4300,buy,hold,,strong_buy,hold,
2025-09-15,5.2,5.35,5.22,mild_buy,hold,,strong_buy,hold,,hold,hold,,strong_buy,hold,,strong_sell,hold,,buy,hold,,strong_buy,hold,
2025-09-16,5.36,5.33,5.26,mild_buy,hold,,strong_buy,hold,,hold,hold,,strong_buy,hold,,hold,sell,4400,buy,hold,,strong_buy,hold,
2025-09-17,5.33,5.16,5.26,mild_buy,hold,,strong_buy,hold,,strong_buy,hold,,strong_buy,hold,,strong_buy,hold,,buy,hold,,strong_buy,hold,
2025-09-18,5.16,5.05,5.22,strong_buy,buy,2500,strong_buy,hold,,mild_sell,hold,,strong_buy,hold,,strong_buy,buy,17500,buy,hold,,strong_buy,hold,
2025-09-19,5.05,4.99,5.18,strong_buy,buy,2600,strong_buy,hold,,mild_buy,sell,10000,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,hold,
2025-09-22,4.99,4.95,5.1,strong_buy,hold,,strong_buy,hold,,hold,buy,5000,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_buy,buy,100
2025-09-23,4.94,4.8,4.99,strong_buy,hold,,strong_buy,hold,,mild_sell,hold,,strong_buy,hold,,strong_buy,hold,,buy,hold,,strong_buy,hold,
2025-09-24,4.78,4.85,4.93,strong_buy,hold,,strong_buy,hold,,strong_buy,sell,7500,strong_buy,hold,,mild_sell,hold,,buy,hold,,strong_buy,hold,
2025-09-25,4.84,4.81,4.88,strong_buy,hold,,strong_buy,hold,,strong_buy,buy,12700,strong_buy,hold,,mild_buy,sell,8700,buy,hold,,strong_buy,hold,
2025-09-26,4.8,4.78,4.84,strong_buy,hold,,strong_buy,hold,,mild_buy,hold,,strong_buy,hold,,mild_buy,buy,4400,buy,hold,,strong_buy,hold,
2025-09-29,4.75,4.75,4.8,strong_buy,hold,,strong_buy,hold,,strong_buy,hold,,strong_buy,hold,,mild_buy,buy,2200,buy,hold,,strong_buy,hold,
2025-09-30,4.75,4.68,4.77,strong_buy,hold,,strong_buy,hold,,strong_sell,hold,,strong_buy,hold,,mild_buy,buy,1100,buy,hold,,strong_buy,hold,
2025-10-09,4.66,4.63,4.73,strong_buy,hold,,strong_buy,hold,,strong_buy,sell,20200,strong_buy,hold,,mild_buy,buy,600,buy,hold,,strong_buy,hold,
2025-10-10,4.61,4.65,4.7,strong_sell,hold,,strong_buy,hold,,strong_buy,buy,20400,strong_buy,hold,,hold,buy,300,buy,hold,,strong_buy,hold,
2025-10-13,4.61,4.89,4.72,mild_buy,sell,39800,strong_buy,hold,,strong_sell,hold,,strong_buy,hold,,strong_sell,hold,,buy,hold,,strong_sell,hold,
2025-10-14,4.83,4.84,4.74,strong_sell,hold,,strong_sell,hold,,mild_sell,sell,20400,strong_buy,hold,,mild_buy,sell,17400,sell,hold,,strong_buy,sell,16300
2025-10-15,5.0,4.97,4.8,mild_buy,hold,,strong_sell,sell,23500,strong_buy,hold,,strong_buy,hold,,strong_sell,hold,,buy,sell,21900,strong_sell,hold,
2025-10-16,4.89,4.8,4.83,mild_buy,hold,,strong_sell,hold,,strong_sell,hold,,strong_buy,hold,,strong_buy,hold,,buy,hold,,strong_sell,hold,
2025-10-17,4.76,4.71,4.84,strong_sell,buy,19200,strong_sell,hold,,hold,hold,,strong_buy,hold,,strong_buy,buy,17900,disagree,buy,23000,strong_sell,hold,
2025-10-20,4.7,4.7,4.8,strong_sell,sell,19200,mild_sell,hold,,strong_buy,hold,,strong_buy,hold,,hold,hold,,disagree,hold,,mild_sell,hold,
2025-10-21,4.71,4.73,4.78,strong_sell,hold,,mild_sell,hold,,mild_buy,buy,20900,strong_buy,hold,,hold,hold,,disagree,hold,,strong_sell,hold,
2025-10-22,4.7,4.73,4.73,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,hold,hold,,disagree,hold,,strong_sell,hold,
2025-10-23,4.75,4.75,4.72,mild_buy,hold,,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,hold,hold,,buy,hold,,strong_sell,hold,
2025-10-24,4.76,4.71,4.72,strong_sell,hold,,mild_sell,hold,,mild_buy,hold,,strong_buy,hold,,mild_buy,hold,,buy,hold,,strong_sell,hold,
2025-10-27,4.69,4.69,4.72,strong_sell,hold,,mild_sell,hold,,mild_sell,hold,,strong_buy,hold,,hold,hold,,sell,hold,,strong_buy,hold,
2025-10-28,4.69,4.75,4.73,strong_sell,hold,,mild_buy,hold,,mild_sell,sell,10400,strong_buy,hold,,mild_sell,hold,,sell,sell,23000,strong_sell,buy,16700
2025-10-29,4.71,4.69,4.72,strong_sell,hold,,mild_sell,hold,,mild_sell,sell,5200,strong_buy,hold,,mild_buy,sell,8900,sell,hold,,strong_buy,sell,16700
2025-10-30,4.69,4.64,4.7,strong_sell,hold,,mild_sell,hold,,mild_sell,sell,2600,strong_buy,hold,,mild_buy,buy,4400,sell,hold,,strong_buy,buy,16800
