gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2020-02-18 12:20:12,Bernstein,Market Perform,,main,Raises,730.0,325.0
2020-02-18 12:47:59,Morgan Stanley,Underweight,,main,Raises,500.0,360.0
2020-02-18 13:20:00,Cowen & Co.,Underperform,,main,Raises,290.0,280.0
2020-02-18 14:25:44,Evercore ISI Group,Underperform,Underperform,main,Raises,550.0,250.0
2020-02-25 10:05:14,Jefferies,Hold,Buy,down,Raises,800.0,600.0
2020-03-03 09:56:18,JMP Securities,Market Outperform,Market Perform,up,,0.0,0.0
2020-03-12 10:10:30,Morgan Stanley,Underweight,,main,Lowers,480.0,500.0
2020-03-17 14:19:59,CFRA,Hold,Sell,up,,0.0,0.0
2020-03-18 10:26:02,B of A Securities,Neutral,Underperform,up,Raises,500.0,370.0
2020-03-19 10:37:30,Morgan Stanley,Equal-Weight,Underweight,up,Lowers,460.0,480.0
2020-03-19 12:22:18,Wedbush,Neutral,,main,Lowers,425.0,710.0
2020-03-19 13:45:52,Canaccord Genuity,Hold,,main,Lowers,400.0,750.0
2020-03-20 21:18:06,Baird,Neutral,Neutral,main,Announces,525.0,0.0
2020-03-24 10:00:32,UBS,Neutral,Sell,up,,0.0,0.0
2020-03-24 11:02:08,Citigroup,Sell,,main,Lowers,246.0,312.0
2020-03-24 12:32:48,Argus Research,Hold,Buy,down,,0.0,0.0
2020-03-24 14:46:45,Morgan Stanley,Equal-Weight,,main,Lowers,440.0,460.0
2020-03-27 14:42:45,Piper Sandler,Overweight,,main,Lowers,820.0,928.0
2020-03-30 13:08:52,Wedbush,Neutral,Neutral,main,Maintains,425.0,425.0
2020-03-31 11:29:34,Credit Suisse,Underperform,Underperform,main,Maintains,415.0,415.0
2020-04-06 11:16:06,Jefferies,Buy,Hold,up,Lowers,650.0,800.0
2020-04-06 21:20:46,Baird,Neutral,Neutral,main,Maintains,525.0,525.0
2020-04-14 09:49:22,Credit Suisse,Neutral,Underperform,up,Raises,580.0,415.0
2020-04-15 09:25:59,Goldman Sachs,Buy,,init,Announces,864.0,0.0
2020-04-22 11:50:10,B of A Securities,Underperform,Neutral,down,Lowers,485.0,500.0
2020-04-30 11:12:24,Piper Sandler,Overweight,,main,Raises,939.0,819.0
2020-04-30 11:14:15,Credit Suisse,Neutral,,main,Raises,700.0,580.0
2020-04-30 11:21:58,Wedbush,Neutral,,main,Raises,600.0,425.0
2020-04-30 12:09:43,JMP Securities,Market Outperform,,main,Raises,1020.0,840.0
2020-04-30 12:20:20,B of A Securities,Underperform,,reit,Raises,500.0,485.0
2020-04-30 13:26:22,Oppenheimer,Outperform,,main,Raises,968.0,684.0
2020-04-30 14:22:23,CFRA,Hold,Hold,main,Raises,775.0,480.0
2020-05-04 12:16:18,Morgan Stanley,Equal-Weight,,main,Raises,680.0,440.0
2020-05-19 13:49:33,JMP Securities,Market Outperform,,main,Lowers,1001.0,1020.0
2020-05-27 11:04:48,Wedbush,Neutral,,main,Raises,800.0,600.0
2020-05-29 10:14:24,Daiwa Capital,Outperform,,init,Announces,910.0,0.0
2020-06-10 12:41:53,Wedbush,Neutral,,main,Raises,1000.0,800.0
2020-06-12 09:18:50,Morgan Stanley,Underweight,Equal-Weight,down,Lowers,650.0,680.0
2020-06-12 09:22:32,Goldman Sachs,Neutral,Buy,down,,0.0,0.0
2020-06-18 14:15:37,Jefferies,Buy,Buy,main,Raises,1200.0,650.0
2020-06-19 21:40:07,JP Morgan,Underweight,Underweight,main,Raises,275.0,240.0
2020-07-01 14:55:38,UBS,Neutral,,main,Raises,800.0,420.0
2020-07-02 13:36:38,Wedbush,Neutral,,main,Raises,1250.0,1000.0
2020-07-06 14:19:58,JP Morgan,Underweight,,main,Raises,59.0,55.0
2020-07-07 11:57:03,Morgan Stanley,Underweight,,main,Raises,740.0,650.0
2020-07-07 21:28:19,Goldman Sachs,Neutral,Neutral,main,Raises,1300.0,950.0
2020-07-13 12:48:24,Roth Capital,Neutral,Sell,up,Raises,150.0,70.0
2020-07-14 12:44:43,Piper Sandler,Overweight,,main,Raises,480.0,464.4
2020-07-16 11:06:55,Citigroup,Sell,,main,Raises,450.0,246.0
2020-07-17 09:30:59,Credit Suisse,Neutral,,main,Raises,280.0,140.0
2020-07-17 14:26:58,CFRA,Sell,Hold,down,Announces,1100.0,0.0
2020-07-17 21:25:00,Baird,Neutral,Neutral,main,Announces,984.0,0.0
2020-07-21 09:52:40,JMP Securities,Market Perform,Market Outperform,down,,0.0,0.0
2020-07-22 15:39:51,B of A Securities,Underperform,,main,Raises,800.0,500.0
2020-07-23 10:24:53,Cowen & Co.,Market Perform,Underperform,up,Raises,220.0,60.0
2020-07-23 10:39:05,Wedbush,Neutral,,main,Raises,1800.0,1250.0
2020-07-23 10:41:39,Piper Sandler,Overweight,,main,Raises,2400.0,2322.0
2020-07-23 10:45:29,RBC Capital,Underperform,,main,Raises,850.0,765.0
2020-07-23 12:09:15,New Street Research,Neutral,Buy,down,,0.0,0.0
2020-07-23 13:34:02,Canaccord Genuity,Hold,,main,Raises,324.6,130.0
2020-07-23 14:29:48,CFRA,Sell,Sell,main,Announces,1220.0,0.0
2020-07-23 14:37:25,Goldman Sachs,Neutral,,main,Raises,295.0,260.0
2020-07-23 14:39:39,Deutsche Bank,Hold,,main,Raises,300.0,200.0
2020-07-23 14:41:17,Oppenheimer,Outperform,,main,Raises,2209.0,968.0
2020-07-23 21:26:41,Baird,Neutral,Neutral,main,Raises,1658.0,984.0
2020-07-24 10:24:47,Daiwa Capital,Neutral,Outperform,down,Raises,330.0,300.0
2020-07-24 14:16:02,Argus Research,Buy,Hold,up,Announces,1888.0,0.0
2020-07-28 09:56:47,Bernstein,Underperform,Market Perform,down,,0.0,0.0
2020-07-28 10:48:52,Bernstein,Underperform,Market Perform,down,Announces,180.0,0.0
2020-07-29 13:11:02,Morgan Stanley,Underweight,,main,Raises,1050.0,740.0
2020-08-04 13:34:54,Citigroup,Sell,,main,Raises,550.0,450.0
2020-08-14 09:18:28,Morgan Stanley,Equal-Weight,Underweight,up,Raises,272.0,210.0
2020-08-14 10:25:16,B of A Securities,Neutral,Underperform,up,Raises,350.0,160.0
2020-08-17 13:17:42,Wedbush,Neutral,,main,Raises,1900.0,1800.0
2020-08-26 13:06:00,Jefferies,Buy,,main,Raises,500.0,240.0
2020-08-31 12:04:58,Wedbush,Neutral,,main,Announces,380.0,0.0
2020-08-31 16:20:55,Argus Research,Buy,,main,Raises,566.0,378.0
2020-08-31 20:57:34,Canaccord Genuity,Hold,Hold,main,Raises,442.0,325.0
2020-09-01 15:56:28,RBC Capital,Underperform,,main,Raises,290.0,170.0
2020-09-02 12:46:08,B of A Securities,Neutral,,reit,Raises,550.0,350.0
2020-09-04 14:33:57,CFRA,Buy,Sell,up,,0.0,0.0
2020-09-04 14:57:01,Oppenheimer,Outperform,,main,Announces,451.0,0.0
2020-09-08 12:11:33,Bernstein,Underperform,Underperform,main,Maintains,180.0,180.0
2020-09-11 12:24:27,UBS,Neutral,,main,Raises,325.0,160.0
2020-09-16 12:31:05,Credit Suisse,Neutral,,main,Raises,400.0,280.0
2020-09-16 16:32:00,Deutsche Bank,Hold,,main,Raises,400.0,300.0
2020-09-18 09:27:02,Piper Sandler,Overweight,,main,Raises,515.0,480.0
2020-09-18 12:25:34,Wedbush,Neutral,,main,Raises,475.0,380.0
2020-09-23 11:14:50,Deutsche Bank,Buy,Hold,up,Raises,500.0,400.0
2020-09-23 14:17:36,Canaccord Genuity,Hold,,main,Lowers,377.0,442.0
2020-09-23 16:15:45,Baird,Neutral,,main,Raises,360.0,332.0
2020-10-05 21:44:43,JP Morgan,Underweight,Underweight,main,Raises,75.0,65.0
2020-10-08 10:15:08,New Street Research,Buy,Neutral,up,Announces,578.0,0.0
2020-10-13 16:37:15,Citigroup,Sell,,main,Raises,117.0,110.0
2020-10-14 16:59:42,Goldman Sachs,Neutral,,main,Raises,450.0,400.0
2020-10-15 21:28:47,Baird,Neutral,Neutral,main,Raises,450.0,360.0
2020-10-16 12:37:01,Morgan Stanley,Equal-Weight,,main,Raises,333.0,272.0
2020-10-19 08:58:41,Wedbush,Neutral,,main,Raises,500.0,475.0
2020-10-22 10:21:51,JMP Securities,Market Outperform,Market Perform,up,Announces,516.0,0.0
2020-10-22 10:23:48,Baird,Outperform,Neutral,up,Announces,488.0,0.0
2020-10-22 13:40:54,Canaccord Genuity,Hold,,main,Raises,419.0,377.0
2020-10-22 21:32:38,Oppenheimer,Outperform,Outperform,main,Raises,486.0,451.0
2020-10-23 12:00:37,Morgan Stanley,Equal-Weight,,main,Raises,360.0,333.0
2020-10-23 12:55:04,Daiwa Capital,Neutral,Neutral,main,Raises,430.0,390.0
2020-10-27 16:56:16,Citigroup,Sell,,main,Raises,137.0,117.0
2020-10-30 14:35:44,CFRA,Strong Buy,Buy,up,,0.0,0.0
2020-11-17 14:48:36,B of A Securities,Neutral,,main,Lowers,500.0,550.0
2020-11-18 11:06:48,Morgan Stanley,Overweight,Equal-Weight,up,Raises,540.0,360.0
2020-11-23 09:16:59,Wedbush,Neutral,,main,Raises,560.0,500.0
2020-12-03 10:47:44,Goldman Sachs,Buy,Neutral,up,Announces,780.0,0.0
2020-12-09 15:33:55,JP Morgan,Underweight,,main,Raises,90.0,80.0
2020-12-10 12:44:40,New Street Research,Neutral,Buy,down,Announces,578.0,0.0
2020-12-11 11:48:50,Jefferies,Hold,Buy,down,Raises,650.0,500.0
2020-12-18 20:55:39,CFRA,Hold,Strong Buy,down,Announces,750.0,0.0
2021-01-04 15:03:41,JP Morgan,Underweight,,main,Raises,105.0,90.0
2021-01-05 10:31:03,Exane BNP Paribas,Underperform,Neutral,down,Lowers,340.0,385.0
2021-01-06 16:15:20,Morgan Stanley,Overweight,,main,Raises,810.0,540.0
2021-01-07 10:52:55,RBC Capital,Sector Perform,Underperform,up,Raises,700.0,339.0
2021-01-08 12:31:04,Evercore ISI Group,In-Line,Underperform,up,Announces,650.0,0.0
2021-01-10 14:07:24,B of A Securities,Neutral,Neutral,main,Raises,900.0,500.0
2021-01-11 12:59:42,Credit Suisse,Neutral,,main,Raises,800.0,400.0
2021-01-13 12:49:02,Edward Jones,Hold,,init,,0.0,0.0
2021-01-14 22:39:22,Goldman Sachs,Buy,Buy,main,Maintains,780.0,780.0
2021-01-15 10:34:16,Wedbush,Neutral,,main,Raises,950.0,715.0
2021-01-20 12:14:26,Oppenheimer,Outperform,,main,Raises,1036.0,486.0
2021-01-22 16:31:55,JP Morgan,Underweight,,main,Raises,125.0,105.0
2021-01-25 16:01:51,Baird,Outperform,,main,Raises,728.0,488.0
2021-01-28 11:02:07,JMP Securities,Market Perform,Market Outperform,down,,0.0,0.0
2021-01-28 11:03:37,JP Morgan,Underweight,,main,Raises,135.0,125.0
2021-01-28 11:05:49,RBC Capital,Sector Perform,,main,Raises,725.0,700.0
2021-01-28 14:53:30,Credit Suisse,Neutral,,reit,Announces,800.0,0.0
2021-01-28 16:18:51,Roth Capital,Neutral,,main,Maintains,150.0,0.0
2021-01-28 19:05:24,Deutsche Bank,Buy,,main,Raises,900.0,890.0
2021-02-01 15:09:43,Piper Sandler,Overweight,,main,Raises,1200.0,515.0
2021-02-02 12:39:48,Morgan Stanley,Overweight,,main,Raises,880.0,810.0
2021-03-03 10:22:27,UBS,Neutral,Neutral,main,Raises,730.0,325.0
2021-03-09 13:13:28,New Street Research,Buy,Neutral,up,Announces,900.0,0.0
2021-03-11 11:12:29,Mizuho,Buy,,init,Announces,775.0,0.0
2021-03-29 14:10:36,Jefferies,Hold,,main,Lowers,700.0,775.0
2021-04-04 13:10:18,B of A Securities,Neutral,Neutral,main,Maintains,900.0,900.0
2021-04-05 10:27:26,Wedbush,Outperform,Neutral,up,Raises,1000.0,950.0
2021-04-05 13:02:57,JP Morgan,Underweight,,main,Raises,155.0,135.0
2021-04-05 21:43:43,Goldman Sachs,Buy,Buy,main,Announces,835.0,0.0
2021-04-12 10:28:18,Canaccord Genuity,Buy,Hold,up,Raises,1071.0,419.0
2021-04-20 12:09:57,Mizuho,Buy,,main,Raises,820.0,775.0
2021-04-23 12:17:01,Morgan Stanley,Overweight,,main,Raises,900.0,880.0
2021-04-27 10:44:33,Goldman Sachs,Buy,,main,Raises,860.0,835.0
2021-04-27 13:03:05,Credit Suisse,Neutral,,reit,Announces,800.0,0.0
2021-04-27 13:04:43,Canaccord Genuity,Buy,,main,Lowers,974.0,1071.0
2021-04-27 13:11:44,B of A Securities,Neutral,Neutral,main,Maintains,900.0,900.0
2021-04-27 21:35:11,Oppenheimer,Outperform,Outperform,main,Raises,1080.0,1036.0
2021-05-21 13:14:06,B of A Securities,Neutral,Neutral,main,Lowers,700.0,900.0
2021-05-24 10:44:09,Wells Fargo,Equal-Weight,,init,Announces,590.0,0.0
2021-05-28 21:01:30,Morgan Stanley,Overweight,Overweight,main,Maintains,900.0,900.0
2021-06-14 13:54:19,Canaccord Genuity,Buy,,main,Lowers,812.0,974.0
2021-06-23 21:03:19,Morgan Stanley,Overweight,Overweight,main,Maintains,900.0,900.0
2021-06-29 11:27:50,UBS,Neutral,,main,Lowers,660.0,730.0
2021-07-07 14:51:56,JP Morgan,Underweight,,main,Raises,160.0,155.0
2021-07-16 13:20:02,B of A Securities,Neutral,Neutral,main,Raises,750.0,700.0
2021-07-27 10:53:18,Mizuho,Buy,,main,Raises,825.0,820.0
2021-07-27 11:47:05,RBC Capital,Sector Perform,,main,Raises,745.0,718.0
2021-07-27 11:47:16,Wells Fargo,Equal-Weight,,main,Raises,660.0,590.0
2021-07-27 13:02:01,B of A Securities,Neutral,Neutral,main,Raises,800.0,750.0
2021-07-27 13:36:44,Goldman Sachs,Buy,,main,Raises,875.0,860.0
2021-07-27 14:26:09,Canaccord Genuity,Buy,,main,Lowers,768.0,812.0
2021-07-27 21:32:14,Baird,Outperform,Outperform,main,Raises,764.0,736.0
2021-07-29 10:13:37,DZ Bank,Buy,Sell,up,Announces,750.0,0.0
2021-08-02 15:53:41,KGI Securities,Outperform,,init,Announces,855.0,0.0
2021-08-09 09:14:52,Jefferies,Buy,Hold,up,Raises,850.0,700.0
2021-08-12 09:29:54,UBS,Neutral,Neutral,main,Raises,725.0,660.0
2021-08-17 12:16:52,Bernstein,Underperform,Underperform,main,Announces,300.0,0.0
2021-08-19 21:07:32,Morgan Stanley,Overweight,Overweight,main,Maintains,900.0,900.0
2021-09-23 12:17:39,Tudor Pickering,Sell,,init,Announces,537.0,0.0
2021-10-04 10:44:01,RBC Capital,Sector Perform,,main,Raises,755.0,745.0
2021-10-04 21:35:15,Baird,Outperform,Outperform,main,Maintains,764.0,764.0
2021-10-08 13:27:17,Canaccord Genuity,Buy,,main,Raises,940.0,768.0
2021-10-14 10:43:08,Barclays,Underweight,,main,Raises,300.0,230.0
2021-10-15 13:24:25,Jefferies,Buy,,main,Raises,950.0,850.0
2021-10-18 13:25:40,B of A Securities,Neutral,Neutral,main,Raises,900.0,800.0
2021-10-19 21:10:24,Morgan Stanley,Overweight,Overweight,main,Maintains,900.0,900.0
