gradedate,firm,tograde,fromgrade,action,pricetargetaction,currentpricetarget,priorpricetarget
2017-01-11 13:56:06,Wells Fargo,Market Perform,Outperform,down,,0.0,0.0
2017-01-19 10:59:16,UBS,Sell,Neutral,down,,0.0,0.0
2017-03-02 11:21:49,Credit Suisse,Neutral,Underperform,up,,0.0,0.0
2017-05-11 10:14:56,B of A Securities,Buy,Neutral,up,,0.0,0.0
2017-06-05 12:11:58,Scotiabank,Sector Outperform,Sector Perform,up,,0.0,0.0
2017-07-11 10:37:21,Barclays,Overweight,Equal-Weight,up,,0.0,0.0
2017-07-21 17:33:24,Citigroup,Neutral,,main,Lowers,84.0,87.0
2017-09-06 11:59:40,UBS,Neutral,Sell,up,,0.0,0.0
2017-10-10 16:48:51,Barclays,Overweight,,main,Lowers,91.0,94.0
2017-10-18 11:37:12,Morgan Stanley,Underperform,,main,Raises,85.0,81.0
2017-11-07 12:52:33,HSBC,Reduce,Hold,down,,0.0,0.0
2017-12-12 15:40:27,Credit Suisse,Neutral,,init,Announces,83.0,0.0
2018-01-24 13:58:23,Morgan Stanley,Underweight,Underperform,main,Raises,90.0,85.0
2018-02-05 14:18:45,Credit Suisse,Neutral,Neutral,main,Lowers,80.0,84.0
2018-02-06 12:31:20,Barclays,Underweight,Overweight,down,,0.0,91.0
2018-03-08 12:49:41,Wells Fargo,Market Perform,Market Perform,main,Lowers,82.0,87.0
2018-03-08 15:05:03,B of A Securities,Buy,Buy,main,Lowers,100.0,102.0
2018-03-15 11:26:47,HSBC,Buy,Reduce,up,,0.0,0.0
2018-04-23 11:41:22,Raymond James,Market Perform,Underperform,up,,0.0,0.0
2018-04-30 12:35:00,Credit Suisse,Neutral,Neutral,main,Lowers,79.0,82.0
2018-05-30 13:00:05,RBC Capital,Outperform,Sector Perform,up,,0.0,96.0
2018-06-08 12:22:56,Mizuho,Neutral,,init,Announces,81.0,0.0
2018-06-26 11:09:12,Wells Fargo,Market Perform,Market Perform,main,Raises,86.0,82.0
2018-07-11 12:08:17,Barclays,Underweight,Underweight,main,Raises,87.0,84.0
2018-09-11 13:18:07,Berenberg,Hold,,init,Announces,84.0,0.0
2018-11-20 11:25:44,Raymond James,Underperform,Market Perform,down,,0.0,0.0
2018-11-26 15:09:58,Wolfe Research,Outperform,Peer Perform,up,,0.0,0.0
2018-12-19 14:19:33,Societe Generale,Buy,Buy,main,Lowers,84.0,92.0
2019-02-14 11:48:05,Macquarie,Outperform,Underperform,up,Announces,83.0,0.0
2019-03-08 11:52:27,Cowen & Co.,Market Perform,Outperform,down,,0.0,0.0
2019-04-01 10:44:13,Morgan Stanley,Equal-Weight,,init,,0.0,0.0
2019-04-03 13:51:41,Wells Fargo,Market Perform,Market Perform,main,Raises,80.0,76.0
2019-04-08 13:39:05,Tudor Pickering,Hold,,init,,0.0,0.0
2019-05-13 11:51:00,HSBC,Hold,Buy,down,,0.0,0.0
2019-05-16 13:39:07,Morgan Stanley,Equal-Weight,,main,Lowers,85.0,86.0
2019-07-12 13:06:03,Morgan Stanley,Equal-Weight,,main,Lowers,83.0,84.0
2019-07-18 11:07:38,RBC Capital,Sector Perform,Outperform,down,Lowers,90.0,100.0
2019-08-06 11:34:47,DZ Bank,Hold,Sell,up,,0.0,0.0
2019-08-19 12:39:38,Barclays,Equal-Weight,,init,Announces,73.0,0.0
2019-08-21 11:05:45,BMO Capital,Market Perform,,init,Announces,86.0,0.0
2019-08-23 12:20:05,UBS,Neutral,,main,Lowers,75.0,87.0
2019-10-04 13:19:25,Morgan Stanley,Equal-Weight,,main,Lowers,82.0,83.0
2019-10-07 13:17:35,Berenberg,Hold,,main,Lowers,63.0,73.0
2019-11-04 13:59:06,Morgan Stanley,Equal-Weight,,main,Lowers,81.0,82.0
2020-01-03 18:49:37,Goldman Sachs,Neutral,,main,Lowers,72.0,74.0
2020-01-14 14:39:02,Citigroup,Neutral,,main,Lowers,68.0,75.0
2020-01-16 13:42:24,RBC Capital,Sector Perform,,main,Lowers,70.0,75.0
2020-01-23 12:24:57,Scotiabank,Sector Underperform,Sector Perform,down,,0.0,0.0
2020-01-31 16:08:35,CFRA,Hold,,main,Lowers,69.0,73.0
2020-02-03 10:37:49,Goldman Sachs,Sell,Neutral,down,Lowers,59.0,72.0
2020-02-03 13:16:35,Credit Suisse,Neutral,,main,Lowers,65.0,70.0
2020-02-28 17:43:06,B of A Securities,Buy,,main,Lowers,99.0,100.0
2020-03-02 16:09:10,Morgan Stanley,Equal-Weight,,main,Lowers,73.0,79.0
2020-03-04 13:49:54,JP Morgan,Neutral,,main,Lowers,64.0,72.0
2020-03-06 13:28:43,Citigroup,Neutral,,main,Lowers,52.0,68.0
2020-03-06 16:30:36,B of A Securities,Buy,,main,Lowers,98.0,99.0
2020-03-09 19:39:03,CFRA,Sell,Hold,down,Lowers,41.0,57.0
2020-03-11 14:39:45,JP Morgan,Neutral,,main,Lowers,50.0,64.0
2020-03-16 11:29:58,RBC Capital,Underperform,Sector Perform,down,Lowers,40.0,55.0
2020-03-16 13:35:56,UBS,Neutral,,main,Lowers,46.0,73.0
2020-03-16 15:06:04,Morgan Stanley,Equal-Weight,,main,Lowers,44.0,73.0
2020-03-20 14:24:50,Wells Fargo,Equal-Weight,,main,Lowers,44.0,63.0
2020-04-03 15:32:27,Wells Fargo,Equal-Weight,,main,Lowers,42.0,44.0
2020-04-07 16:43:30,CFRA,Hold,Sell,up,Maintains,41.0,0.0
2020-04-08 13:36:09,Mizuho,Neutral,,main,Lowers,50.0,60.0
2020-04-09 11:26:42,RBC Capital,Underperform,,main,Raises,42.0,40.0
2020-04-20 12:49:19,B of A Securities,Buy,,main,Lowers,70.0,62.0
2020-04-30 18:14:31,CFRA,Sell,Hold,down,Raises,43.0,41.0
2020-05-04 12:42:17,Credit Suisse,Neutral,,main,Raises,45.0,37.0
2020-05-04 13:52:07,Wells Fargo,Equal-Weight,,main,Raises,45.0,42.0
2020-05-05 14:34:00,UBS,Neutral,,main,Raises,48.0,46.0
2020-07-13 18:10:15,Scotiabank,Sector Underperform,,main,Lowers,47.0,50.0
2020-07-24 09:29:47,SunTrust Robinson Humphrey,Hold,,init,Announces,41.0,0.0
2020-07-24 14:43:28,Piper Sandler,Neutral,,main,Raises,49.0,46.0
2020-08-03 11:11:06,RBC Capital,Underperform,,main,Raises,50.0,45.0
2020-08-03 13:25:31,Morgan Stanley,Equal-Weight,,main,Raises,45.0,44.0
2020-08-21 12:17:24,Morgan Stanley,Equal-Weight,,main,Raises,46.0,45.0
2020-09-10 10:07:15,MKM Partners,Buy,,init,Announces,55.0,0.0
2020-09-24 09:47:57,Scotiabank,Sector Perform,Sector Underperform,up,,0.0,0.0
2020-10-13 10:05:04,Goldman Sachs,Neutral,Sell,up,Raises,36.0,33.0
2020-10-19 12:12:14,Morgan Stanley,Equal-Weight,,main,Lowers,44.0,46.0
2020-11-02 15:25:24,Credit Suisse,Neutral,,main,Lowers,37.0,47.0
2020-12-15 12:34:21,Wells Fargo,Overweight,Equal-Weight,up,Announces,53.0,0.0
2020-12-16 12:53:06,Goldman Sachs,Buy,Neutral,up,,0.0,0.0
2021-01-11 12:12:02,Morgan Stanley,Overweight,Equal-Weight,up,Raises,57.0,49.0
2021-01-13 10:11:13,JP Morgan,Overweight,Neutral,up,Raises,56.0,50.0
2021-01-14 15:40:30,Barclays,Overweight,Equal-Weight,up,,0.0,0.0
2021-01-21 16:28:45,Jefferies,Underperform,,init,,0.0,0.0
2021-02-08 10:48:17,Exane BNP Paribas,Neutral,Underperform,up,,0.0,0.0
2021-02-16 12:31:31,Credit Suisse,Neutral,,main,Raises,62.0,52.0
2021-02-26 13:42:08,Credit Suisse,Neutral,,main,Raises,64.0,62.0
2021-03-04 13:46:00,Morgan Stanley,Overweight,,main,Raises,60.0,57.0
