datetime,open,high,low,close,volume
2022-06-01,266.26511923779674,268.674267192914,261.27264493032675,263.57537841796875,25292200
2022-06-02,255.86413679429918,265.7329565705162,253.10666158963318,265.66522216796875,44008200
2022-06-03,261.5338887851949,264.5719571114333,259.6955816677973,261.2532958984375,28059000
2022-06-06,263.2270685226695,265.2782340927179,258.5442115825969,260.0245361328125,22400300
2022-06-07,257.9830710374571,264.26235216439045,257.30578597515415,263.6528015136719,22860700
2022-06-08,262.88842705123176,264.13655309709793,260.85660150666956,261.6306457519531,17372300
2022-06-09,259.08606081367157,263.8559928027338,256.03833688377534,256.1931457519531,26439700
2022-06-10,252.11977283149906,252.11977283149906,244.33114285896366,244.77621459960938,31422800
2022-06-13,237.15206786424903,240.93512629318718,233.6882971691395,234.39459228515625,46135800
2022-06-14,235.94263445006774,237.76160149558388,233.6689256431726,236.55218505859375,28651500
2022-06-15,240.24817961274056,247.01124236384646,238.41954235569622,243.58616638183594,33111700
2022-06-16,237.99378942655406,239.3870394621926,235.1298996985269,237.01658630371094,33169200
2022-06-17,236.75536866492723,242.36706412018737,236.10712319916604,239.60958862304688,43084800
2022-06-21,242.1348507017861,246.47908003768092,241.4092008096241,245.5018768310547,29928300
2022-06-22,243.7119356534914,248.82052450027996,242.24128106481916,244.91168212890625,25939900
2022-06-23,247.27247956979176,250.9490941058249,245.39546270431345,250.4556427001953,25861400
2022-06-24,253.30985203926372,259.2795445759663,253.22277759883846,259.0086364746094,33923200
2022-06-27,259.5021051953525,259.589179651512,254.73217298282648,256.2899169921875,24615100
2022-06-28,255.40942252018837,258.2442876848407,247.99811473013298,248.15292358398438,27295500
2022-06-29,249.22685422747804,253.46465404099425,247.45626683639776,251.8101806640625,20069800
2022-06-30,248.7043745789492,251.10386732586358,244.68911807030898,248.49151611328125,31730900
2022-07-01,248.06586356040017,251.33610113526663,246.34364079711162,251.1522674560547,22837700
2022-07-05,247.84330176827007,254.44188511131125,246.46940643072733,254.31610107421875,22941000
2022-07-06,255.18686285339652,259.2891938730712,253.88068722348527,257.5669860839844,23824400
2022-07-07,256.5124052718838,260.32448856109585,256.4156460435075,259.6859130859375,20859900
2022-07-08,256.1930642415837,259.3955960207404,254.7417647817811,258.9698791503906,19658800
2022-07-11,257.0251678392389,257.87660171050175,253.66782672632655,255.9221954345703,19455200
2022-07-12,257.2477138444937,257.3057634702687,243.8570440782721,245.4341278076172,35868500
2022-07-13,242.06712638955372,245.3180384343123,240.05465562247608,244.51498413085938,29497400
2022-07-14,242.43477469827525,246.85639326542395,237.95509174418504,245.830810546875,25102800
2022-07-15,247.41756820782146,251.91659126646923,246.4984147054872,248.38510131835938,29774100
2022-07-18,251.316701373285,252.37130881947417,245.07611636115803,245.99526977539062,20975000
2022-07-19,249.2171954923263,251.2877307699049,245.44382181429663,251.10389709472656,25012600
2022-07-20,251.46187956720985,256.2705208821731,250.50403112190256,253.7549285888672,22788300
2022-07-21,251.35545481408533,256.2898799710948,248.68505377050542,256.2414855957031,22404700
2022-07-22,256.6285035144892,256.71557796165024,250.65884004276222,251.9069366455078,21881300
2022-07-25,252.526134487459,253.0099010286227,248.47216851036575,250.42657470703125,21056000
2022-07-26,251.42314353761344,251.44251309723307,241.46724894665664,243.72158813476562,39348000
2022-07-27,252.68097341491003,261.28232818719346,250.4459740907152,260.0148620605469,45994000
2022-07-28,260.9919881283852,268.81932539688347,259.1730216332737,267.4357604980469,33459300
2022-07-29,268.684055217114,272.8444373086265,267.6487873224595,271.6253356933594,32152800
2022-08-01,268.80002257079224,272.1476784512212,266.88429661951363,268.9838562011719,21539600
2022-08-02,267.0391735890701,268.8678255810628,263.53670799309106,265.8974914550781,22754200
2022-08-03,267.77443670567607,274.29559953530566,267.62928313742134,273.2990417480469,23518900
2022-08-04,272.6507928732396,274.58585891074097,271.0737388551581,274.44073486328125,18098700
2022-08-05,270.0868886929883,274.44078812230066,269.632146904856,273.7248229980469,16774600
2022-08-08,274.8277823787597,276.63709419104765,270.25136942756865,271.2189025878906,18739200
2022-08-09,270.5610309152516,273.8893183608111,268.59690993620944,273.1346435546875,23405200
2022-08-10,278.8140935874834,280.4008328998237,277.6240169581476,279.7719421386719,24687800
2022-08-11,281.40705441673725,281.75535221728916,277.2079636139316,277.7013854980469,20065900
2022-08-12,279.11404574842857,282.43267822265625,277.6240360455356,282.43267822265625,22619700
2022-08-15,281.55217775836655,284.62892642888846,280.6910589868737,283.9419860839844,18085700
2022-08-16,282.5099789943521,284.49343955539996,280.99097447536275,283.20660400390625,18102900
2022-08-17,280.9280886741136,284.42831264174936,280.6663108728771,282.4600524902344,18253400
2022-08-18,281.36444334293145,283.0321341039528,280.28818642679033,281.3450622558594,17186200
2022-08-19,280.11362940883,280.4529907173876,276.8752129457477,277.447265625,20570000
2022-08-22,273.5010322101689,273.8694799294029,268.7888545532896,269.302734375,25061100
2022-08-23,268.0326232910156,270.37900717902073,267.02424456116967,268.0326232910156,17527400
2022-08-24,267.03395699391723,268.7986124206689,266.7430631426748,267.40240478515625,18137000
2022-08-25,268.89553264663925,270.53413693993167,266.1709957164904,270.36932373046875,16583400
