date,lambda_max,mp_upper,mp_upper_adj,detachment,market_mode_frac,absorption_ratio,n_deviating,effective_rank,N,T,shift
2006-01-03,26.608991295575095,2.6153791806491165,1.6282421952186634,10.174047225141157,0.27717699266224055,0.648590321589303,3,35.528830704678256,96,252,18.490973954304586
2006-01-04,26.30740106230678,2.6153791806491165,1.636629428089611,10.058733072799598,0.2740354277323623,0.6461782982538401,3,35.927013653698076,96,252,18.178693139904805
2006-01-05,26.289748977429497,2.6153791806491165,1.6378510422939097,10.051983732203828,0.2738515518482239,0.645445837414351,3,35.984011361726104,96,252,17.495629882593825
2006-01-06,26.408793205051744,2.6153791806491165,1.6348450753483097,10.097500737349026,0.27509159588595566,0.6460371334730655,3,35.843168184288466,96,252,17.706600610313284
2006-01-09,26.383817766242352,2.6153791806491165,1.6354488514919097,10.087951285019443,0.2748314350650245,0.6458031742140932,3,35.87238914205696,96,252,17.678391426092613
2006-01-10,26.340357154483335,2.6153791806491165,1.6361178752558667,10.071333957757462,0.2743787203592014,0.6455841034433549,3,35.93179098788789,96,252,17.336546798273265
2006-01-11,26.30913835556087,2.6153791806491165,1.6365084857569383,10.05939733336531,0.27405352453709236,0.6452503848794103,3,35.96999363070521,96,252,17.103691049925455
2006-01-12,26.406490816683913,2.6153791806491165,1.6342164245775905,10.096620410555547,0.27506761267379076,0.6457756034763072,3,35.8503114331737,96,252,16.953374332947607
2006-01-13,26.351424699015126,2.6153791806491165,1.6374563627999579,10.075565674754248,0.27449400728140755,0.6451953223960102,3,35.96475117592288,96,252,16.962373573884264
2006-01-17,26.219213050358093,2.6153791806491165,1.6391096803387164,10.025014056986832,0.2731168026078968,0.6451435207897203,3,36.068543209173704,96,252,16.96379199646891
2006-01-18,26.08189492130434,2.6153791806491165,1.6424321098656367,9.972509957363437,0.2716864054302535,0.6438072211620455,3,36.25919894909058,96,252,16.787404891172823
2006-01-19,26.02693931140584,2.6153791806491165,1.6450582232152284,9.95149747462093,0.2711139511604775,0.6438819082627206,3,36.333834548946164,96,252,16.269489064417755
2006-01-20,26.40490583984169,2.6153791806491165,1.633516919382193,10.09601438873892,0.2750511024983509,0.6469073732035938,3,35.7892871634647,96,252,16.87034563058023
2006-01-23,26.325335557173183,2.6153791806491165,1.6362426451252188,10.065590393909705,0.2742222453872207,0.6460288910437061,3,35.916415636239584,96,252,16.345312782004008
2006-01-24,26.29978173389459,2.6153791806491165,1.638426154810575,10.055819794117651,0.27395605972806863,0.6455875679904258,3,35.975963285484426,96,252,16.12462617655308
2006-01-25,26.286219889313777,2.6153791806491165,1.640592239728706,10.05063437217916,0.2738147905136852,0.6450683478389828,3,36.015606952769645,96,252,15.017784888965023
2006-01-26,26.238264428355322,2.6153791806491165,1.6404561276380432,10.032298422534353,0.2733152544620346,0.6442458635335474,3,36.08263001834113,96,252,14.831173798556817
2006-01-27,26.410029950161018,2.6153791806491165,1.6361871259005327,10.097973611461668,0.2751044786475106,0.6456639893046182,3,35.852311654999234,96,252,14.443111921062766
2006-01-30,26.39310363463386,2.6153791806491165,1.6361997188787971,10.09150177148818,0.2749281628607694,0.6452484561251955,3,35.88299319434925,96,252,14.134956709359297
2006-01-31,26.269117435864686,2.6153791806491165,1.639660638444191,10.04409518521322,0.27363663995692383,0.6446243103859074,3,36.03778993271606,96,252,13.223952424941137
2006-02-01,26.234059249646755,2.6153791806491165,1.6398581346536287,10.030690556745837,0.2732714505171537,0.6450958269370991,3,36.03449478868582,96,252,13.352857489128558
2006-02-02,26.329531362653427,2.6153791806491165,1.6374750149440085,10.067194675809358,0.2742659516943065,0.6457719431802171,3,35.91655077951835,96,252,13.264464935753729
2006-02-03,26.483391568665283,2.6153791806491165,1.634582835567747,10.126023700353963,0.2758686621735967,0.6445962075535194,3,35.82030243532206,96,252,13.14918305749399
2006-02-06,26.356843086635088,2.6153791806491165,1.637575918565536,10.077637415502224,0.2745504488191155,0.6438798773856286,3,35.97802950188914,96,252,13.013047235750726
2006-02-07,26.364293926848383,2.6153791806491165,1.6360737806164924,10.080486272091902,0.27462806173800397,0.6442461351441744,3,35.907437971651284,96,252,13.449713345893624
2006-02-08,26.347354730610377,2.6153791806491165,1.6350629315666245,10.0740095071305,0.2744516117771914,0.6447307660161883,3,35.877859235421944,96,252,13.765864331477982
2006-02-09,26.240788714791755,2.6153791806491165,1.6381254756301642,10.033263592883307,0.2733415491124141,0.6438681451492655,3,36.01845589313574,96,252,13.835560085804522
2006-02-10,26.20555324885521,2.6153791806491165,1.6398448649512418,10.019791180853248,0.27297451300890846,0.6428425912827375,3,36.102540587832145,96,252,13.571560551484852
2006-02-13,26.17161283951164,2.6153791806491165,1.6413114476479045,10.006813938549458,0.27262096707824623,0.6423210033824981,3,36.16210716576754,96,252,13.035993356009625
2006-02-14,26.286927063227346,2.6153791806491165,1.6359786778421401,10.050904762766804,0.27382215690861816,0.6435651150344742,3,35.943516085150115,96,252,13.363513507541937
2006-02-15,26.32487725797798,2.6153791806491165,1.6346646291861628,10.06541516150035,0.27421747143727065,0.6437851556672224,3,35.897952069144594,96,252,13.393390869102971
2006-02-16,26.45111664823076,2.6153791806491165,1.6331973610282766,10.113683263956318,0.2755324650857371,0.6440332533888654,3,35.78107724724313,96,252,13.63193783839772
2006-02-17,26.33478753389035,2.6153791806491165,1.6356314851102904,10.069204392517289,0.27432070347802445,0.6434812600501593,3,35.92190286697205,96,252,13.540046360902492
2006-02-21,26.446688632217715,2.6153791806491165,1.6336697970045384,10.11199019549198,0.2754863399189345,0.6429954264040403,3,35.829050558708715,96,252,13.630834061596872
2006-02-22,26.042233598931738,2.6153791806491165,1.6433157835006569,9.957345302591367,0.2712732666555389,0.6402217247941626,3,36.33842696150011,96,252,13.937367362339419
2006-02-23,26.063070262919922,2.6153791806491165,1.642653768289671,9.96531227890683,0.27149031523874917,0.640079246467581,3,36.327108879326644,96,252,14.141363309409627
2006-02-24,26.0092323655253,2.6153791806491165,1.643353069683741,9.944727157715622,0.2709295038075552,0.6398413048712777,3,36.37030513256704,96,252,14.396333589323081
2006-02-27,25.858690165045694,2.6153791806491165,1.6456561212417025,9.887166784981355,0.26936135588589266,0.6396230662065691,3,36.51323799923999,96,252,14.431642827241054
2006-02-28,25.991290002552653,2.6153791806491165,1.6424493221232128,9.937866828205697,0.2707426041932568,0.6405732416547997,3,36.33429862122896,96,252,14.777269649237416
2006-03-01,26.012726302638363,2.6153791806491165,1.6427435651841746,9.946063077623112,0.2709658989858163,0.641068649146264,3,36.323008829716315,96,252,15.06534861749484
2006-03-02,26.028289545307985,2.6153791806491165,1.6415121535072643,9.952013741597488,0.2711280160969582,0.6412948721443305,3,36.28459390247265,96,252,15.461596559892877
