timestamp,event_type,symbol,amount,running_balance,description
2026-07-07 10:26:51 ET,STARTING_CAPITAL,,30000.0,30000.0,"starting capital $30,000.00"
2026-07-07 10:26:51 ET,OPTION_SELL,KO,71.0,30071.0,SELL_PUT KO strike=79.13 opened 2026-06-29 premium=$71.00
2026-07-07 10:26:51 ET,OPTION_SELL,KO,74.0,30145.0,SELL_PUT KO strike=77.26 opened 2026-07-01 premium=$74.00
2026-07-07 10:26:51 ET,OPTION_SELL,PG,116.0,30261.0,SELL_PUT PG strike=138.63 opened 2026-07-01 premium=$116.00
2026-07-07 10:26:51 ET,OPTION_BUYBACK,KO,-27.38,30233.62,buyback KO 2026-07-07: early_exit at 39% of premium (target 39%)
2026-07-07 10:26:51 ET,OPTION_BUYBACK,KO,-14.2,30219.42,buyback KO 2026-07-07: early_exit at 19% of premium (target 39%)
2026-07-07 10:26:51 ET,OPTION_BUYBACK,PG,-16.51,30202.91,buyback PG 2026-07-07: early_exit at 14% of premium (target 39%)
2026-07-09 09:58:36 ET,OPTION_SELL,NVDA,437.5,30640.41,SELL_PUT NVDA strike=$190.0 exp=29d premium=$437.50
2026-07-09 09:59:06 ET,OPTION_SELL,KO,73.0,30713.41,SELL_PUT KO strike=$78.0 exp=29d premium=$73.00
2026-07-13 09:20:37 ET,OPTION_BUYBACK,NVDA,320.35,31033.76,early_exit buyback: SELL_PUT $190.0 bought back at $1.17 vs $4.38 entry (25d left)
2026-07-13 09:20:37 ET,OPTION_BUYBACK,KO,48.81,31082.57,early_exit buyback: SELL_PUT $78.0 bought back at $0.24 vs $0.73 entry (25d left)
2026-07-13 09:22:08 ET,OPTION_SELL,PG,190.5,31273.07,SELL_PUT PG strike=$140.0 exp=32d premium=$190.50
2026-07-13 09:35:35 ET,OPTION_SELL,XOM,211.5,31484.57,SELL_PUT XOM strike=$134.0 exp=32d premium=$211.50
2026-07-15 09:36:33 ET,OPTION_BUYBACK,XOM,132.35,31616.92,early_exit buyback: SELL_PUT $134.0 bought back at $0.79 vs $2.12 entry (30d left)
2026-07-15 09:50:42 ET,OPTION_SELL,PG,217.5,31834.42,SELL_PUT PG strike=$139.0 exp=30d premium=$217.50
2026-07-16 09:38:24 ET,OPTION_BUYBACK,PG,136.02,31970.44,early_exit buyback: SELL_PUT $139.0 bought back at $0.81 vs $2.17 entry (29d left)
2026-07-16 09:40:19 ET,OPTION_SELL,XOM,203.5,32173.94,SELL_PUT XOM strike=$138.0 exp=29d premium=$203.50
2026-07-16 12:54:29 ET,OPTION_BUYBACK,PG,115.59,32289.53,early_exit buyback: SELL_PUT $140.0 bought back at $0.75 vs $1.91 entry (29d left)
2026-07-16 13:09:29 ET,OPTION_SELL,PG,186.5,32476.03,SELL_PUT PG strike=$143.0 exp=29d premium=$186.50
2026-07-17 09:32:44 ET,OPTION_BUYBACK,XOM,126.41,32602.44,early_exit buyback: SELL_PUT $138.0 bought back at $0.77 vs $2.04 entry (28d left)
2026-07-17 10:17:50 ET,OPTION_SELL,XOM,141.0,32743.44,SELL_PUT XOM strike=$141.0 exp=28d premium=$141.00
