datetime,open,high,low,close,volume
2022-06-01,84.83119798488539,86.30888234545395,84.48145604920747,85.54817962646484,25815400
2022-06-02,85.06728623501171,85.77552236943606,84.63010211827564,85.39954376220703,19089100
2022-06-03,85.60064261449537,87.13953241547651,85.60064261449537,86.6411361694336,21038200
2022-06-06,86.7198350322375,87.24445459802973,86.27390539940923,86.42254638671875,20682100
2022-06-07,87.17450192842959,90.43589806468884,86.99088541734952,90.38343811035156,37810200
2022-06-08,90.48836113056805,92.30704854699336,90.04243816156843,91.45016479492188,31613200
2022-06-09,90.4271409063494,91.43266548442269,89.32544198130444,89.47408294677734,26607000
2022-06-10,89.1331030005857,90.36595878442411,87.25320989809406,87.83903503417969,30950500
2022-06-13,85.2683826634043,85.48697471016035,82.12065852429714,83.80818939208984,33421000
2022-06-14,85.17221373855165,86.27391292150092,83.30105956161339,84.02678680419922,31264000
2022-06-15,83.93060715466075,84.43774234493675,81.55232442733924,82.96880340576172,29620800
2022-06-16,80.80038301882357,81.42992263188914,78.9379741502718,79.90852355957031,35696700
2022-06-17,79.5325293297082,79.87353238828318,74.89838195043033,75.30059051513672,64610200
2022-06-21,77.4515437903237,80.90529582559594,77.39907715734728,79.98721313476562,35951500
2022-06-22,76.54219340824476,78.48329188921882,76.53344785834938,76.82199096679688,29727200
2022-06-23,77.5214876148681,77.86249067832,73.02722894118652,74.50491333007812,35757200
2022-06-24,76.02630412442639,77.29414188026715,75.02952501757186,75.98258972167969,26639000
2022-06-27,76.77827845444534,78.72812270286074,76.65586742585252,77.84500885009766,25478700
2022-06-28,79.67241936035855,81.52607536263308,78.99915222410314,80.00467681884766,33096900
2022-06-29,81.29876184261352,81.49111725174424,76.73455856515204,77.04933166503906,25400900
2022-06-30,75.31807397960668,76.59465071322208,74.03275169639878,74.88088989257812,39948100
2022-07-01,75.84269866234509,76.83947791429014,74.06773221670434,76.55094146728516,26327900
2022-07-05,75.49295670266899,75.80772982802154,72.58131529950919,74.1551742553711,34591100
2022-07-06,73.2370824847556,74.52240480934469,70.83256992868488,72.8173828125,33375700
2022-07-07,74.65354543728213,75.86017767594258,74.58360105967071,75.14319610595703,23817400
2022-07-08,76.02630573998088,76.33233992020723,74.26008506408003,75.26560974121094,17673800
2022-07-11,74.46993578342733,75.30058955132144,73.761699697129,74.88088989257812,15603800
2022-07-12,73.25456335472175,74.36501465328094,72.45014624878732,73.88410949707031,21013000
2022-07-13,72.90481968537624,75.46671883341419,72.8348752977531,74.181396484375,19928600
2022-07-14,71.56703343655188,72.84361016524696,70.55276982742282,72.6949691772461,26343000
2022-07-15,74.14641257079728,74.21635694421842,72.48511195814311,73.91907501220703,17243700
2022-07-18,75.70279596029694,76.89193717690517,74.97706879543023,75.28309631347656,19395800
2022-07-19,75.56287865240445,77.39905006217508,75.41423769795739,77.18045806884766,18248900
2022-07-20,76.57716259928335,78.38710436563319,76.28861951471613,78.02861022949219,16584400
2022-07-21,76.00883311293144,76.76953590069857,74.50491863830237,76.72581481933594,21375700
2022-07-22,76.55093057986994,77.35534763880375,75.74650685003688,76.13997650146484,15479500
2022-07-25,77.08430920908215,78.80680908231672,76.43727189190932,78.6756591796875,17536400
2022-07-26,79.68115809470798,79.81231463655192,77.81875654740053,78.3696060180664,15141200
2022-07-27,78.93795931229442,80.4418736699904,78.16851770480109,80.0658950805664,18047000
2022-07-28,80.59924111242717,81.53481458940531,79.57623217114137,81.00144958496094,20353100
2022-07-29,82.58406656085889,85.26837643201868,82.27803905194477,84.75250244140625,29825800
2022-08-01,82.8813577780727,83.37100180761563,81.51734559811766,82.61030578613281,20793200
2022-08-02,82.7939187983739,83.23984173319185,82.03321613813849,82.2518081665039,16722500
2022-08-03,82.55784470012313,82.55784470012313,79.38389050269421,79.58499145507812,23580800
2022-08-04,78.96418460635412,78.99041458321605,75.57163862391998,76.23616027832031,31821500
2022-08-05,75.5104338781209,78.42208141518375,75.44048282518796,77.33786010742188,17408000
2022-08-08,77.47777292193592,78.34339564120016,77.1367698303803,77.77505493164062,14458500
2022-08-09,78.73686950185913,80.10088193974453,78.64942733356322,79.20902252197266,19083400
2022-08-10,79.28769988375609,80.25824901220948,77.98489327753188,79.9609603881836,18302000
2022-08-11,81.08221438839084,83.25406543068414,80.72907422983214,82.27408599853516,18797900
2022-08-12,81.64724677189332,83.00685108953869,81.32058474269914,82.98919677734375,15058200
2022-08-15,79.92565451842405,81.86795881735392,79.15756736381618,81.5059814453125,20755200
2022-08-16,81.24993608446951,82.00919931983302,80.59661890603394,80.7467041015625,14038200
2022-08-17,80.5789534120352,82.29171085801879,80.26995251603671,81.40001678466797,13678000
2022-08-18,82.2387654264201,84.14574775756996,82.18578901741849,83.3246841430664,17770400
2022-08-19,83.13045279812698,84.04862515816082,82.81262131360921,83.05982208251953,16128600
2022-08-22,82.47714602872378,83.42181015643132,81.099880464964,82.99803924560547,16019900
2022-08-23,84.35763170734779,86.88262250237833,84.26933994618179,86.52064514160156,23764700
2022-08-24,86.52949033348165,87.37703884577088,85.95562746719878,87.03272247314453,17050300
2022-08-25,87.3328783448447,88.16277240447643,86.60893035741566,87.48296356201172,15305700
2022-08-26,87.20043273340075,88.20690341030989,86.00856824890343,86.4058609008789,15531400
2022-08-29,86.67956842223965,89.66364565063604,86.6442530618442,88.39232635498047,23059200
2022-08-30,86.83846812608944,87.06801455837554,84.59599367331838,85.02859497070312,17086800
2022-08-31,83.01567901351572,85.49652404575392,82.62721680023122,84.3929443359375,18340900
